stimulus_presentations_id,start_time,stop_time,duration,image_name,image_index,is_change,omitted,start_frame,end_frame,image_set
0,308.93151,309.18171,0.25020000000000664,im065,0,False,False,17983,17998.0,Natural_Images_Lum_Matched_set_training_2017.07.14
1,309.68207,309.93234,0.25027000000000044,im065,0,False,False,18028,18043.0,Natural_Images_Lum_Matched_set_training_2017.07.14
2,310.43267,310.68297,0.2503000000000384,im065,0,False,False,18073,18088.0,Natural_Images_Lum_Matched_set_training_2017.07.14
3,311.1833,311.43356,0.2502600000000257,im065,0,False,False,18118,18133.0,Natural_Images_Lum_Matched_set_training_2017.07.14
4,311.93392,312.1841,0.2501800000000003,im065,0,False,False,18163,18178.0,Natural_Images_Lum_Matched_set_training_2017.07.14
5,312.68453,312.93473,0.25020000000000664,im065,0,False,False,18208,18223.0,Natural_Images_Lum_Matched_set_training_2017.07.14
6,313.43517,313.68534,0.2501699999999687,im065,0,False,False,18253,18268.0,Natural_Images_Lum_Matched_set_training_2017.07.14
7,314.18574,314.43596,0.250220000000013,im062,5,True,False,18298,18313.0,Natural_Images_Lum_Matched_set_training_2017.07.14
8,314.93635,315.1866,0.2502499999999941,im062,5,False,False,18343,18358.0,Natural_Images_Lum_Matched_set_training_2017.07.14
9,315.68715,315.93718,0.25003000000003794,im062,5,False,False,18388,18403.0,Natural_Images_Lum_Matched_set_training_2017.07.14
10,316.43765,316.68775,0.2500999999999749,im062,5,False,False,18433,18448.0,Natural_Images_Lum_Matched_set_training_2017.07.14
11,317.18824,317.43842,0.2501800000000003,im062,5,False,False,18478,18493.0,Natural_Images_Lum_Matched_set_training_2017.07.14
12,317.93882,318.18905,0.25022999999998774,im062,5,False,False,18523,18538.0,Natural_Images_Lum_Matched_set_training_2017.07.14
13,318.68943,318.93967,0.2502399999999625,im062,5,False,False,18568,18583.0,Natural_Images_Lum_Matched_set_training_2017.07.14
14,319.42336,319.67336,0.25,omitted,8,False,True,18612,,omitted
15,320.19064,320.44088,0.25024000000001934,im062,5,False,False,18658,18673.0,Natural_Images_Lum_Matched_set_training_2017.07.14
16,320.94129,321.19145,0.25015999999999394,im062,5,False,False,18703,18718.0,Natural_Images_Lum_Matched_set_training_2017.07.14
17,321.6919,321.94208,0.2501800000000003,im062,5,False,False,18748,18763.0,Natural_Images_Lum_Matched_set_training_2017.07.14
18,322.44247,322.69269,0.250220000000013,im062,5,False,False,18793,18808.0,Natural_Images_Lum_Matched_set_training_2017.07.14
19,323.1931,323.44333,0.25022999999998774,im062,5,False,False,18838,18853.0,Natural_Images_Lum_Matched_set_training_2017.07.14
20,323.92719,324.17719,0.25,omitted,8,False,True,18882,,omitted
21,324.69434,324.94455,0.2502099999999814,im062,5,False,False,18928,18943.0,Natural_Images_Lum_Matched_set_training_2017.07.14
22,325.44499,325.69517,0.2501800000000003,im062,5,False,False,18973,18988.0,Natural_Images_Lum_Matched_set_training_2017.07.14
23,326.1956,326.44575,0.25014999999996235,im062,5,False,False,19018,19033.0,Natural_Images_Lum_Matched_set_training_2017.07.14
24,326.92945,327.17945,0.25,omitted,8,False,True,19062,,omitted
25,327.69677,327.94698,0.2502099999999814,im062,5,False,False,19108,19123.0,Natural_Images_Lum_Matched_set_training_2017.07.14
26,328.44738,328.69762,0.2502399999999625,im062,5,False,False,19153,19168.0,Natural_Images_Lum_Matched_set_training_2017.07.14
27,329.19797,329.4482,0.25022999999998774,im062,5,False,False,19198,19213.0,Natural_Images_Lum_Matched_set_training_2017.07.14
28,329.94857,330.19886,0.2502900000000068,im062,5,False,False,19243,19258.0,Natural_Images_Lum_Matched_set_training_2017.07.14
